id,显示名,价格,解禁声望
002,红色扶手椅,0,0
003,落地灯,100,0
004,装饰书柜,0,0
005,木质茶几,0,0
006,蓝色圆柱桌,70,0
007,悬挂绿植·壹,0,0
008,悬挂绿植·贰,70,0
010,悬挂绿植·肆,70,0
011,敞口纸箱,70,0
012,封口纸箱,0,0
013,龟背竹盆栽·壹,0,0
014,龟背竹盆栽·贰,80,0
016,山景海报,0,0
017,挂钟,0,0
018,挂历,0,0
020,绿色挂签,40,0
021,紫色挂签,40,0
023,悬挂绿植,130,0
024,蓝色沙发,0,0
032,敞口纸箱·大,70,0
035,书立文件架,40,0
036,圆形太空椅,0,0
037,云形壁镜,0,0
038,圆球落地灯,90,0
040,水母缸边柜,200,0
041,熔岩灯,70,0
043,复古餐桌椅,0,0
049,仙人掌灯,60,0
051,圆形吧台架,130,0
053,棕榈盆栽,0,0
054,蓝色懒人沙发,100,0
055,太空地毯,100,0
056,云朵茶几,220,0
057,玻璃电视柜,0,0
059,月牙水族灯,120,0
060,复古太空电视,140,0
063,熔岩灯·高,80,0
064,高筒气泡水族箱,90,0
075,洗衣机,200,0
077,浴缸茶座,600,0
