记录类型,房间id,显示名,场景宽,场景高,背景图,景深模糊图,失焦模糊图,初始货币,访客区左,访客区下,访客区右,访客区上,入口区左,入口区下,入口区右,入口区上,白天墙脚线,夜间墙脚线,夜间横向缩放,夜间横向偏移,网格id,表面类型,列数,行数,格宽,格高,X,Y,远端宽度比,家具id,宿主家具id,列,行,翻转
房间,living,卧室·一,1672,630,Assets/PC ui/Scene/房间1.png,,,2480,0.05,0.02,0.95,0.14,0.8,0.03,0.93,0.12,0.7943,0.8015,0.99,13.2,,,,,,,,,,,,,,
网格,living,,,,,,,,,,,,,,,,,,,,wall,壁挂,34,14,30,30,316,75,1,,,,,
网格,living,,,,,,,,,,,,,,,,,,,,floor,地面,53,5,30,21.6,40,500,0.65,,,,,
初始摆放,living,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,landscape_poster_02,,8,3,否
初始摆放,living,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,hanging_plant_01,,25,3,否
初始摆放,living,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,armchair_01,,17,3,否
初始摆放,living,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,round_table_01,,25,3,否
房间,bedroom,卧室·二,1672,635,Assets/PC ui/Scene/房间2.png,,,2480,0.05,0.02,0.95,0.12,0.66,0.03,0.79,0.11,0.832,0.8931,1.062,47.9,,,,,,,,,,,,,,
网格,bedroom,,,,,,,,,,,,,,,,,,,,wall,壁挂,28,13,30,30,242,109,1,,,,,
网格,bedroom,,,,,,,,,,,,,,,,,,,,floor,地面,53,4,30,21,40,530,0.74,,,,,
初始摆放,bedroom,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,landscape_poster_03,,16,2,否
初始摆放,bedroom,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,single_sofa_02,,9,2,否
初始摆放,bedroom,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,cat_sofa_01,,29,2,否
初始摆放,bedroom,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,monstera_01,,45,2,否
房间,kitchen,卧室·三,1672,627,Assets/PC ui/Scene/房间3.png,,,2480,0.05,0.02,0.95,0.13,0.2,0.03,0.33,0.12,0.7853,0.7825,1.066,171.1,,,,,,,,,,,,,,
网格,kitchen,,,,,,,,,,,,,,,,,,,,wall,壁挂,24,14,30,30,562,75,1,,,,,
网格,kitchen,,,,,,,,,,,,,,,,,,,,floor,地面,53,5,30,20.8,40,502,0.65,,,,,
初始摆放,kitchen,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,vintage_square_clock_02,,19,4,否
初始摆放,kitchen,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,round_table_02,,17,3,否
初始摆放,kitchen,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,potted_plant_01,,41,3,否
房间,study,卧室·四,1672,623,Assets/PC ui/Scene/房间4.png,,,2480,0.04,0.02,0.96,0.13,0.87,0.03,0.97,0.12,0.8,0.8753,1,0,,,,,,,,,,,,,,
网格,study,,,,,,,,,,,,,,,,,,,,wall,壁挂,46,14,30,30,130,59,1,,,,,
网格,study,,,,,,,,,,,,,,,,,,,,floor,地面,53,5,30,20.1,40,502,0.88,,,,,
初始摆放,study,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,round_table_03,,0,3,否
初始摆放,study,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,potted_plant_02,,9,0,否
初始摆放,study,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,vintage_square_clock_03,,35,4,否
初始摆放,study,,,,,,,,,,,,,,,,,,,,floor,,,,,,,,,single_sofa_04,,35,3,否
