id,英文索引,显示名,族id,显示宽,显示高,精灵图,色值,商店显示宽,商店显示高,商店列表图,商店详情图,占格列,占格行
table_lamp_01,table_lamp_01,经典落地灯·01,table_lamp,70,220,Assets/PC ui/Scene/furniture/01_台灯 1.png,#D5B061,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-1.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-1.png,4,2
table_lamp_02,table_lamp_02,经典落地灯·02,table_lamp,70,220,Assets/PC ui/Scene/furniture/02_台灯 1.png,#C0AF97,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-2.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-2.png,4,2
table_lamp_03,table_lamp_03,经典落地灯·03,table_lamp,70,220,Assets/PC ui/Scene/furniture/03_台灯 1.png,#CCA49C,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-3.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-3.png,4,2
table_lamp_04,table_lamp_04,经典落地灯·04,table_lamp,70,220,Assets/PC ui/Scene/furniture/04_台灯 2.png,#9C9F83,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-4.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-4.png,4,2
table_lamp_05,table_lamp_05,经典落地灯·05,table_lamp,70,220,Assets/PC ui/Scene/furniture/05_台灯 1.png,#A3AFBD,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-5.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-5.png,4,2
table_lamp_06,table_lamp_06,经典落地灯·06,table_lamp,70,220,Assets/PC ui/Scene/furniture/06_台灯 1.png,#AB95A0,70,220,Assets/PC ui 2.0/store/左侧家具图标/台灯-6.png,Assets/PC ui 2.0/store/右侧家具图标/台灯-6.png,4,2
round_table_01,round_table_01,圆桌·01,round_table,135,145,Assets/PC ui/Scene/furniture/01_圆桌 3.png,#8EABC2,145,155,,,6,3
round_table_02,round_table_02,圆桌·02,round_table,135,145,Assets/PC ui/Scene/furniture/02_圆桌 1.png,#ACB189,145,155,,,6,3
round_table_03,round_table_03,圆桌·03,round_table,135,145,Assets/PC ui/Scene/furniture/03_圆桌 1.png,#E07A60,145,155,,,6,3
round_table_04,round_table_04,圆桌·04,round_table,135,145,Assets/PC ui/Scene/furniture/04_圆桌 2.png,#E5D1B2,145,155,,,6,3
round_table_05,round_table_05,圆桌·05,round_table,135,145,Assets/PC ui/Scene/furniture/05_圆桌 1.png,#697075,145,155,,,6,3
round_table_06,round_table_06,圆桌·06,round_table,135,145,Assets/PC ui/Scene/furniture/06_圆桌 1.png,#E7C374,145,155,,,6,3
round_table_07,round_table_07,圆桌·07,round_table,135,145,Assets/PC ui/Scene/furniture/07_圆桌 1.png,#E9BAB1,145,155,,,6,3
round_table_08,round_table_08,圆桌·08,round_table,135,145,Assets/PC ui/Scene/furniture/08_圆桌 1.png,#B1C7B9,145,155,,,6,3
crescent_aquarium_01,crescent_aquarium_01,月牙鱼缸·01,crescent_aquarium,50,55,Assets/PC ui/Scene/furniture/01_月牙鱼缸 1.png,#B1C5C6,85,90,,,3,1
crescent_aquarium_04,crescent_aquarium_04,月牙鱼缸·04,crescent_aquarium,50,55,Assets/PC ui/Scene/furniture/04_月牙鱼缸 1.png,#B4A8B8,85,90,,,3,1
crescent_aquarium_05,crescent_aquarium_05,月牙鱼缸·05,crescent_aquarium,50,55,Assets/PC ui/Scene/furniture/05_月牙鱼缸 1.png,#D0D3B3,85,90,,,3,1
crescent_aquarium_07,crescent_aquarium_07,月牙鱼缸·07,crescent_aquarium,50,55,Assets/PC ui/Scene/furniture/07_月牙鱼缸 1.png,#E4D6CA,85,90,,,3,1
cat_sofa_01,cat_sofa_01,猫耳懒人沙发·01,cat_sofa,145,105,Assets/PC ui/Scene/furniture/01_猫耳懒人沙发 2.png,#96B2CB,165,120,,,8,5
cat_sofa_02,cat_sofa_02,猫耳懒人沙发·02,cat_sofa,145,105,Assets/PC ui/Scene/furniture/02_猫耳懒人沙发 1.png,#E89276,165,120,,,8,5
cat_sofa_03,cat_sofa_03,猫耳懒人沙发·03,cat_sofa,145,105,Assets/PC ui/Scene/furniture/03_猫耳懒人沙发 1.png,#A8BEA2,165,120,,,8,5
cat_sofa_04,cat_sofa_04,猫耳懒人沙发·04,cat_sofa,145,105,Assets/PC ui/Scene/furniture/04_猫耳懒人沙发 1.png,#EDBD6F,165,120,,,8,5
cat_sofa_05,cat_sofa_05,猫耳懒人沙发·05,cat_sofa,145,105,Assets/PC ui/Scene/furniture/05_猫耳懒人沙发 2.png,#C8B1BF,165,120,,,8,5
cat_sofa_06,cat_sofa_06,猫耳懒人沙发·06,cat_sofa,145,105,Assets/PC ui/Scene/furniture/06_猫耳懒人沙发 1.png,#B5D4D9,165,120,,,8,5
cat_sofa_07,cat_sofa_07,猫耳懒人沙发·07,cat_sofa,145,105,Assets/PC ui/Scene/furniture/07_猫耳懒人沙发 1.png,#8FA7BA,165,120,,,8,5
cat_sofa_08,cat_sofa_08,猫耳懒人沙发·08,cat_sofa,145,105,Assets/PC ui/Scene/furniture/08_猫耳懒人沙发 1.png,#ECD2AA,165,120,,,8,5
single_sofa_02,single_sofa_02,单人沙发·02,single_sofa,135,150,Assets/PC ui/Scene/furniture/02_单人沙发 1.png,#3B4F63,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_10 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_10 2.png,8,5
single_sofa_03,single_sofa_03,单人沙发·03,single_sofa,135,150,Assets/PC ui/Scene/furniture/03_单人沙发 1.png,#4E5B37,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_04 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_04 2.png,8,5
single_sofa_04,single_sofa_04,单人沙发·04,single_sofa,135,150,Assets/PC ui/Scene/furniture/04_单人沙发 1.png,#A87219,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_09 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_09 2.png,8,5
single_sofa_05,single_sofa_05,单人沙发·05,single_sofa,135,150,Assets/PC ui/Scene/furniture/05_单人沙发 3.png,#664E71,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_05 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_05 2.png,8,5
single_sofa_06,single_sofa_06,单人沙发·06,single_sofa,135,150,Assets/PC ui/Scene/furniture/06_单人沙发 1.png,#387274,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_06 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_06 2.png,8,5
single_sofa_07,single_sofa_07,单人沙发·07,single_sofa,135,150,Assets/PC ui/Scene/furniture/07_单人沙发 1.png,#673212,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_07 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_07 2.png,8,5
single_sofa_08,single_sofa_08,单人沙发·08,single_sofa,135,150,Assets/PC ui/Scene/furniture/08_单人沙发 1.png,#635D58,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_08 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_08 2.png,8,5
single_sofa_09,single_sofa_09,单人沙发·09,single_sofa,135,150,Assets/PC ui/Scene/furniture/09_单人沙发 2.png,#C7B391,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_01 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_01 2.png,8,5
single_sofa_10,single_sofa_10,单人沙发·10,single_sofa,135,150,Assets/PC ui/Scene/furniture/10_单人沙发 1.png,#C08883,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_02 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_02 2.png,8,5
single_sofa_11,single_sofa_11,单人沙发·11,single_sofa,135,150,Assets/PC ui/Scene/furniture/11_单人沙发 1.png,#A24A12,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_11 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_11 2.png,8,5
single_sofa_12,single_sofa_12,单人沙发·12,single_sofa,135,150,Assets/PC ui/Scene/furniture/12_单人沙发 1.png,#2A2928,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_12 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_12 2.png,8,5
armchair_01,armchair_01,扶手椅·01,armchair,135,150,Assets/PC ui/Scene/furniture/armchair_01 1.png,#97211E,145,160,Assets/PC ui 2.0/store/左侧家具图标/armchair_03 3.png,Assets/PC ui 2.0/store/右侧家具图标/armchair_03 2.png,8,5
