对话组ID,说话人,立绘ID,步骤,选项,句序,类型,文本,条件,备注
,,,,,,,,,
10001,visitor,cat_平静,1,,,Line,你好。,,
10001,player,goat_平静,2,,,Line,您好，黑喵警长，欢迎来到Master House~,,
10001,visitor,cat_平静,3,,,Line,请问今天还有房间可以入住吗？,,
,,,,,,,,,
10001,player,goat_平静,4,1,,Branch,接待,CanAcceptGuest,
10001,visitor,cat_平静,4,1,1,Line,登记证件在这里，请帮我选一个安静的房间。,,
10001,player,goat_平静,4,1,2,Line,好呢，这是您的房卡咩。,,
10001,visitor,cat_平静,4,1,3,Line,好的，我先去放行李。,,
10001,visitor,cat_平静,4,1,4,Action,Accept,,
,,,,,,,,,
10001,player,goat_平静,4,2,,Branch,暂不接待,,
10001,player,goat_伤心,4,2,1,Line,非常抱歉，目前没有能够满足您要求的房间。,,
10001,visitor,cat_伤心,4,2,2,Line,这样啊……那我改天再来。,,
10001,visitor,cat_平静,4,2,3,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
10001,player,goat_平静,4,3,,Branch,（先想一下）,,
10001,player,goat_平静,4,3,1,Line,您稍等下，我帮您找找合适的房间。,,
10001,visitor,cat_平静,4,3,2,Line,好的，我等你。,,
,,,,,,,,,
20001,visitor,cat_平静,1,,,Line,找到合适的房间了喵？,,
,,,,,,,,,
20001,,,2,1,,Branch,接待,CanAcceptGuest,
20001,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20001,visitor,cat_平静,2,1,2,Line,好的，我先去放行李了。,,
20001,,,2,1,3,Action,Accept,,
,,,,,,,,,
20001,,,2,2,,Branch,暂不接待,,
20001,visitor,cat_平静,2,2,1,Line,抱歉啊，没有找到合适的房间。,,
20001,visitor,cat_平静,2,2,2,Line,哦哦……那我改天再来吧。,,
20001,,,2,2,3,Action,Reject,,
,,,,,,,,,
20001,,,2,3,,Branch,（再想一会）,,
20001,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下~,,
20001,visitor,cat_平静,2,3,2,Line,好的，我等你，但是我的耐心是有限的。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30001,visitor,cat_平静,1,,,Line,{需求},,
,,,,,,,,,
30001,player,goat_平静,2,1,,Branch,同意,,
30001,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30001,visitor,cat_平静,2,1,2,Line,好，我会等你的。,,
30001,,,2,1,3,Action,Accept,,
,,,,,,,,,
30001,player,goat_平静,2,2,,Branch,暂不同意,,
30001,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30001,,,2,2,2,Action,Reject,,
,,,,,,,,,
30001,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30001,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30001,visitor,cat_平静,2,3,2,Line,是我预期中的样子，谢谢你。,,
30001,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30001,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
30002,visitor,cat_平静,1,,,Line,{需求},,
,,,,,,,,,
30002,player,goat_平静,2,1,,Branch,同意,,
30002,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30002,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30002,player,goat_平静,2,2,,Branch,暂不同意,,
30002,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30002,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
40001,visitor,cat_伤心,1,,,Line,你是觉得我要求太多了吗,,
,,,,,,,,,
40002,visitor,cat_平静,1,,,Line,嗯，还行吧，谢谢你。,,
,,,,,,,,,
40003,visitor,cat_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40004,visitor,cat_开心,1,,,Line,太完美了，我会记住这地方的。,,
,,,,,,,,,
50001,visitor,cat_开心,1,,,Line,这里真不错啊喵,,
,,,,,,,,,
50002,visitor,cat_开心,1,,,Line,难得能这么安静地待一会儿。,,
,,,,,,,,,
50003,visitor,cat_开心,1,,,Line,下次路过，我还来。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10101,visitor,leopard_平静,1,,,Line,老板！我是豹冲冲！这里能放球包吗？,,
10101,player,goat_平静,2,,,Line,当然，豹冲冲，欢迎来到Master House~,,
10101,visitor,leopard_平静,3,,,Line,现在还有房间嘛，我好想好好休息一下~,,
,,,,,,,,,
10101,player,goat_平静,4,1,,Branch,接待,CanAcceptGuest,
10101,visitor,leopard_平静,4,1,1,Line,我要一间明亮的房间！,,
10101,player,goat_平静,4,1,2,Line,明白，安排！,,
10101,visitor,leopard_平静,4,1,3,Line,嘿嘿好的，我去放行李啦~,,
10101,visitor,leopard_平静,4,1,4,Action,Accept,,
,,,,,,,,,
10101,player,goat_平静,4,2,,Branch,暂不接待,,
10101,player,goat_伤心,4,2,1,Line,非常抱歉，目前没有能够满足您要求的房间。,,
10101,visitor,leopard_伤心,4,2,2,Line,那，那好吧，那我只能去其他地方看看了，55555……,,
10101,visitor,leopard_平静,4,2,3,Action,Reject,,
,,,,,,,,,
10101,player,goat_平静,4,3,,Branch,（先想一下）,,
