立绘ID,资源路径,备注,行号
crow_平静,OutGameUI/Guests/crow,鸦族_默认脸,3
crow_02,OutGameUI/Guests/crow02,鸦族_默认脸,4
crow_03,OutGameUI/Guests/crow02,鸦族_默认脸,5
crow_04,OutGameUI/Guests/crow02,鸦族_默认脸,6
crow_05,OutGameUI/Guests/crow02,鸦族_默认脸,7
fox_平静,OutGameUI/Guests/fox,狐族_默认脸,8
fox_02,OutGameUI/Guests/fox02,狐族_默认脸,9
fox_03,OutGameUI/Guests/fox02,狐族_默认脸,10
fox_04,OutGameUI/Guests/fox02,狐族_默认脸,11
fox_05,OutGameUI/Guests/fox02,狐族_默认脸,12
hedgehog_平静,OutGameUI/Guests/hedgehog,猬族_默认脸,13
hedgehog_02,OutGameUI/Guests/hedgehog02,猬族_默认脸,14
hedgehog_03,OutGameUI/Guests/hedgehog02,猬族_默认脸,15
hedgehog_04,OutGameUI/Guests/hedgehog02,猬族_默认脸,16
hedgehog_05,OutGameUI/Guests/hedgehog02,猬族_默认脸,17
rabbit_平静,OutGameUI/Guests/rabbit,兔族_默认脸,18
rabbit_02,OutGameUI/Guests/rabbit02,兔族_默认脸,19
rabbit_03,OutGameUI/Guests/rabbit02,兔族_默认脸,20
rabbit_04,OutGameUI/Guests/rabbit02,兔族_默认脸,21
rabbit_05,OutGameUI/Guests/rabbit02,兔族_默认脸,22
